keys,en,de
Szkoła sztuki,Art School,Kunstschule
Za mało gotówki na kurs.,Not enough cash for the course.,Nicht genug Bargeld für den Kurs.
"Kurs (%.0f M, %d dni)","Course (%.0f M, %d days)","Kurs (%.0f M, %d Tage)"
"Eksperckość: %.0f%% — zwiększa szansę na wczesne ostrzeżenie o podróbce w Domu aukcyjnym (NIE wpływa na szacowaną wartość obrazu)
Gotówka: %.0f M | Data: %s","Expertise: %.0f%% — increases the chance of an early forgery warning at the Auction House (does NOT affect the estimated value of a painting)
Cash: %.0f M | Date: %s","Expertise: %.0f%% — erhöht die Chance auf eine frühe Fälschungswarnung im Auktionshaus (beeinflusst NICHT den Schätzwert eines Gemäldes)
Bargeld: %.0f M | Datum: %s"
Dom aukcyjny,Auction House,Auktionshaus
"W tym mieście nie odbywa się teraz żadna aukcja.
Wróć w podanym terminie.","There is no auction happening in this city right now.
Come back on the given date.","In dieser Stadt findet gerade keine Auktion statt.
Komm zum angegebenen Termin zurück."
Podbij (+10%),Raise bid (+10%),Gebot erhöhen (+10%)
Zakończ rundę,End round,Runde beenden
Czas minął!,Time's up!,Zeit abgelaufen!
Czas na podbicie: %d s,Time to bid: %d s,Zeit zum Bieten: %d s
Zabrakło czasu na podbicie — rywale odpowiadają.,Time ran out to bid — rivals are responding.,Die Zeit zum Bieten ist abgelaufen — Rivalen antworten.
%s podbija ofertę.,%s raises the bid.,%s erhöht das Gebot.
Za mało gotówki na taką ofertę.,Not enough cash for that bid.,Nicht genug Bargeld für dieses Gebot.
"To była FAŁSZYWKA! Pieniądze przepadły, obraz nie trafia do kolekcji.","It was a FORGERY! The money is lost, the painting doesn't join the collection.","Es war eine FÄLSCHUNG! Das Geld ist verloren, das Gemälde kommt nicht in die Sammlung."
Wygrywasz aukcję! Obraz trafia do kolekcji (%d/%d).,You win the auction! The painting joins the collection (%d/%d).,Du gewinnst die Auktion! Das Gemälde kommt in die Sammlung (%d/%d).
Nikt nie licytował — obraz zostaje niesprzedany.,No one bid — the painting remains unsold.,Niemand hat geboten — das Gemälde bleibt unverkauft.
%s wygrywa aukcję.,%s wins the auction.,%s gewinnt die Auktion.
Aukcja w toku: %s — %s,Auction in progress: %s — %s,Auktion läuft: %s — %s
"Na sprzedaż: „%s” — %s, %s (%s) — szac. wartość %.0f M","For sale: “%s” — %s, %s (%s) — est. value %.0f M","Zu verkaufen: „%s“ — %s, %s (%s) — geschätzter Wert %.0f M"
Na sprzedaż: obraz nr %d (%s) — szac. wartość %.0f M,For sale: painting #%d (%s) — est. value %.0f M,Zu verkaufen: Gemälde Nr. %d (%s) — geschätzter Wert %.0f M
⚠ Szkoła Sztuki ostrzega: ten numer już masz w kolekcji — to może być podróbka!,⚠ The Art School warns: you already have this number in your collection — it might be a forgery!,⚠ Die Kunstschule warnt: Diese Nummer hast du bereits in deiner Sammlung — es könnte sich um eine Fälschung handeln!
nikt,no one,niemand
Ty,You,Du
"Oferta: %.0f M
(prowadzi: %s)","Bid: %.0f M
(leading: %s)","Gebot: %.0f M
(führend: %s)"
"
Jeśli nikt Cię nie przebije do końca czasu — wygrywasz!","
If no one outbids you before time runs out — you win!","
Wenn dich niemand überbietet, bevor die Zeit abläuft — gewinnst du!"
Gotówka: %.0f M,Cash: %.0f M,Bargeld: %.0f M
Następna aukcja: %s — %s,Next auction: %s — %s,Nächste Auktion: %s — %s
Jedź »,Travel »,Reisen »
Plantacje,Plantations,Plantagen
Galeria,Gallery,Galerie
Giełda,Stock Market,Börse
Rynek,Market,Markt
Wyścigi konne,Horse Races,Pferderennen
Koniec tury »,End turn »,Zug beenden »
Zapisz i wyjdź do menu,Save and exit to menu,Speichern und zum Menü zurückkehren
Ustawienia,Settings,Einstellungen
Wyjdź z gry,Quit game,Spiel beenden
"%s
w podróży do %s (%.1f dnia)","%s
traveling to %s (%.1f days)","%s
auf Reise nach %s (%.1f Tage)"
"%s
w: %s","%s
in: %s","%s
in: %s"
"
(gracz %d/%d)","
(player %d/%d)","
(Spieler %d/%d)"
Obrazy: %d/%d,Paintings: %d/%d,Gemälde: %d/%d
⚠ Kurs dolara wysoki — zbliża się reforma walutowa!,⚠ Dollar rate is high — a currency reform is approaching!,⚠ Der Dollarkurs ist hoch — eine Währungsreform steht bevor!
Ekonomiczna gra strategiczna — lata 20. XX wieku,An economic strategy game — the 1920s,Ein Wirtschaftsstrategiespiel — die 1920er Jahre
Liczba graczy (hot-seat):,Number of players (hot-seat):,Anzahl der Spieler (Hot-Seat):
Tryb łatwy (%d/%d obrazów do wygranej),Easy mode (%d/%d paintings to win),Einfacher Modus (%d/%d Gemälde zum Sieg)
Nowa gra,New game,Neues Spiel
Wczytaj grę,Load game,Spiel laden
Galeria (placeholder),Gallery (placeholder),Galerie (Platzhalter)
Twoja kolekcja: %d/%d (próg zwycięstwa),Your collection: %d/%d (win threshold),Deine Sammlung: %d/%d (Sieg-Schwelle)
%s: %d/5,%s: %d/5,%s: %d/5
Gracze,Players,Spieler
 (Ty), (You), (Du)
%s%s: %d obrazów,%s%s: %d paintings,%s%s: %d Gemälde
Ochrona,Protection,Schutz
Zatrudnij ochroniarza (%.0f M),Hire a bodyguard (%.0f M),Leibwächter anheuern (%.0f M)
Rywale,Rivals,Rivalen
%s: %d obrazów,%s: %d paintings,%s: %d Gemälde
Wyślij gangstera (%.0f M),Send a gangster (%.0f M),Gangster schicken (%.0f M)
Gangster wraca z obrazem!,The gangster returns with a painting!,Der Gangster kommt mit einem Gemälde zurück!
Gangster wraca z pustymi rękami — pieniądze przepadły.,The gangster returns empty-handed — the money is lost.,Der Gangster kommt mit leeren Händen zurück — das Geld ist verloren.
Masz ochroniarza — obrazy chronione przed kradzieżą.,You have a bodyguard — paintings are protected from theft.,Du hast einen Leibwächter — Gemälde sind vor Diebstahl geschützt.
Bez ochrony — Twoja kolekcja jest narażona na kradzież (~%.0f%% szans/tydzień).,No protection — your collection is at risk of theft (~%.0f%% chance/week).,Kein Schutz — deine Sammlung ist diebstahlgefährdet (~%.0f%% Chance/Woche).
%s — kurs ×%.1f,%s — odds ×%.1f,%s — Quote ×%.1f
Postaw zakład,Place bet,Wette platzieren
Za mało gotówki na taki zakład.,Not enough cash for that bet.,Nicht genug Bargeld für diese Wette.
Wygrywa %s! Wygrana: %.0f M,%s wins! Payout: %.0f M,%s gewinnt! Gewinn: %.0f M
Wygrywa %s. Twój koń nie zwyciężył — zakład przepadł.,%s wins. Your horse didn't win — the bet is lost.,%s gewinnt. Dein Pferd hat nicht gewonnen — die Wette ist verloren.
Koniec gry,Game Over,Spielende
Powrót do menu głównego,Return to main menu,Zurück zum Hauptmenü
Kolekcja kompletna,Collection Complete,Sammlung komplett
Ostatni obraz trafia do gabloty. Posłaniec przynosi wiadomość: wuj Walther chce Cię widzieć natychmiast.,The last painting takes its place in the display case. A messenger arrives with word: uncle Walther wants to see you at once.,Das letzte Gemälde findet seinen Platz in der Vitrine. Ein Bote überbringt die Nachricht: Onkel Walther will dich sofort sehen.
"W gabinecie czeka na Ciebie zapieczętowany testament. Notariusz czyta go na głos, a przy podpisie zawodowo się zawiesza — obok nazwiska ""Walther von Rabenstein"" widnieje dopisek innym charakterem pisma: ""znany też jako Vico Falsari"".","In the study, a sealed will awaits you. The notary reads it aloud, and his voice catches at the signature — next to the name ""Walther von Rabenstein"" is a note in different handwriting: ""also known as Vico Falsari"".","Im Arbeitszimmer erwartet dich ein versiegeltes Testament. Der Notar liest es laut vor und stockt bei der Unterschrift — neben dem Namen ""Walther von Rabenstein"" steht ein Vermerk in anderer Handschrift: ""auch bekannt als Vico Falsari""."
